bn:00000004n	शून्य जीरो 0 शून्य_समारोह
bn:00017344n	shrouds कफन कफ़न घुमावदार_कपड़े घुमावदार_पत्र नक़ब
bn:00017345n	समारोह अनुष्ठान विधि आनुष्ठानिक_अवसर औपचारिक पालन समापन_समारोह
bn:00017349n	
bn:00017363n	ज़रूर
bn:00017367n	credential क्रेडेंशियल्स प्रत्यक्ष_पत्र साख
bn:00017371n	प्रमाणन प्रमाणपत्र प्रमाणपत्र_है प्रमाणित प्रमाणीकरण
bn:00017377n	अति_आत्मविश्वास निश्चय हठ
bn:00017378n	आसमानी_नीले
bn:00017393n	हिरण हरिण हिरन हिरणों मृग सर्विडाए cervid cervids
bn:00017395n	गर्दन गरदन कंठ गुद्दी
bn:00017428n	
bn:00017444n	चा चा_-_चा_-_चा चा_चा
bn:00017474n	बेबात
bn:00017483n	चिढ़
bn:00017487n	श्रृंखला कड़ी_श्रृंखला लिंक_श्रृंखला
bn:00017488n	रासायनिक_श्रृंखला
bn:00017490n	
bn:00017505n	शृंखला_अभिक्रिया क्रान्तिक
bn:00017514n	चेन लोहा
bn:00017515n	कुर्सी आसंद कुर्सियों
bn:00017517n	अध्यक्ष सभापति चेर्मन अध्यक्षा सभाध्यक्ष chairman प्रधानिका अध्यक्षता उप_अध्यक्ष उपाध्यक्ष कार्यकारी_अध्यक्ष कुर्सी के_उपाध्यक्ष बोर्ड_के_अध्यक्ष वाइस_चेयरमैन संयोजक
bn:00017518n	बिजली_की_कुर्सी मौत_कुर्सी विद्युतीय_कुरसी
bn:00017525n	चैज़लोंग गाड़ी_लाउंज
bn:00017562n	दावेदार चैलेंजर प्रतिद्वंद्वी प्रतियोगी
bn:00017585n	चैम्बर_संगीत प्रकोष्ठ_संगीत
bn:00017586n	chamber_of_commerce वाणिज्य_मण्डल
bn:00017591n	चैमबरमैड fille_de_chambre fille_de_chambre_था
bn:00017605n	चैंपियन कुतरना चैम्पियनशिप_खेल विश्व_चैंपियन शीर्षक_धारक
bn:00017614n	
bn:00017621n	अवसर मौका
bn:00017622n	नसीब भाग्य मौका
bn:00017624n	प्रायिकता अवकाश अवसर चांस मौक़ा संभावना संभाव्यता संभावनाओं संभाव्य
bn:00017625n	संभावना संभावना_है
bn:00017628n	random_variable यादृच्छिक_चर stochastic_चर variate मौका_चर यादृच्छिक_variate
bn:00017651n	परिवर्तन
bn:00017652n	परिवर्तन
bn:00017653n	
bn:00017656n	
bn:00017678n	changeover रूपांतरण
bn:00017681n	चैनल चैनल_मॉडल संचरण_चैनल संचार_चैनल
bn:00017683n	
bn:00017696n	हनुका chanukah hannukah hanukah hanukkah channukah channukkah chanukkah रोशनी_का_पर्व रोशनी_के_त्योहार समर्पण_का_पर्व
bn:00017718n	टोपी टोप टोपियाँ chapeau puggaree
bn:00017719n	पुजास्थल chapels चैपल
bn:00017722n	chapelgoer nonconformists गैर_conformism गैर_conformists गैर_अनुरूप गैर_कंफ़मिस्ट संप्रदायवादी
bn:00017730n	अध्याय
bn:00017746n	पात्र किरदार कलाशास्त्र फ़िक्शनल_पात्र काल्पनिक_चरित्र चरित्र कार्टून_चरित्र कार्टून_चरित्रों काल्पनिक_पात्रों माध्यमिक_चरित्र
bn:00017747n	गुणवत्ता चरित्र
bn:00017748n	चरित्र नैतिक_चरित्र
bn:00017749n	भूमिका चरित्र नाटकीय_भूमिका पात्र व्यक्तित्व हिस्सा
bn:00017751n	चरित्र_संदर्भ
bn:00017758n	शब्द_चित्र
bn:00017761n	विशेषता सुविधा
bn:00017762n	
bn:00017777n	चारकोल काठकोयला लकड़ी_का_कोयला काठ_कोयला
bn:00017778n	fusain
bn:00017779n	ऑक्सफोर्ड_ग्रे लकड़ी_का_कोयला_ग्रे
bn:00017789n	
bn:00017790n	आपराधिक_आरोप आपराधिक_आरोपों
bn:00017791n	
bn:00017793n	मिशन
bn:00017803n	दर प्रति_यूनिट_प्रभारी
bn:00017904n	लेखाचित्र चार्ट
bn:00017905n	
bn:00017963n	चौलमूग्रा_तेल
bn:00017970n	huckster फेरीवाला सस्ते_जैक
bn:00017971n	सस्ती_मुद्रा
bn:00017983n	
bn:00017998n	चेकबुक_के रसीद_बुक
bn:00018012n	चेकलिस्ट
bn:00018024n	गाल कपोल
bn:00018028n	गुस्ताखी
bn:00018031n	जयकार
bn:00018093n	रसायन_प्रयोगशाला रसायन_विज्ञान_प्रयोगशाला
bn:00018096n	रासायनिक रासायनिक_पदार्थ रसायन
bn:00018101n	रासायनिक_यौगिक यौगिक रासायनिक_यौगिकों
bn:00018109n	रासायनिक_साम्य रासायनिक_साम्यावस्था रासायनिक_संतुलन संतुलन_प्रतिक्रिया_है
bn:00018111n	प्रकार्यात्मक_समूह क्रियात्मक_समूह रासायनिक_समूह आधा_भाग आवर्त_सारणी_समूह कार्य_समूहों कार्यात्मक_समूह रासायनिक_श्रृंखला समूह
bn:00018115n	अभिक्रिया_क्रिया-विधि तंत्र प्रतिक्रिया_तंत्र रासायनिक_तंत्र
bn:00018121n	रासायनिक_अभिक्रिया अभिक्रिया रासायनिक_अभिक्रियाओं रासायनिक_प्रतिक्रिया प्रतिक्रिया रासायनिक रासायनिक_प्रतिक्रियाओं
bn:00018123n	रसायन_शास्त्र रसायन_विज्ञान chemistry केमिस्ट्री रसायनशास्त्र रसायनशास्त्री रसायनिकी रासायनिक रासायनिकी
bn:00018131n	रसायनशास्त्र_वैज्ञानिक दवा_की_दुकानों रसायनज्ञ
bn:00018207n	छाती सीना वक्ष pectus
bn:00018239n	जुगल चूइंग_गम गम_चबाने
bn:00018253n	शिकागो chicago शिकागो,_इलिनॉय हवा_सिटी
bn:00018265n	मुर्गा चिकन poulet volaille घरेलू_चिकन मुर्गियों
bn:00018266n	मुर्गी gallus_gallus_domesticus मुर्गा चिकन
bn:00018319n	विजयी,_प्रबल
bn:00018323n	संयुक्त_राज्य_अमेरिका_का_राष्ट्रपति संयुक्त_राज्य_अमेरिका_के_राष्ट्रपति अमेरिका_का_राष्ट्रपति potus अमेरिकी_राष्ट्रपति एस_यू_राष्ट्रपति मुख्य_कार्यकारी राष्ट्रपति
bn:00018345n	बच्चा नाबालिग संतान tiddler underage किशोर नौजवान बच्चे
bn:00018346n	पूर्व_pubescent बच्चे बच्चों बच्चों_के स्कूली_बच्चों
bn:00018350n	
bn:00018365n	बचपन
bn:00018366n	बचपन
bn:00018387n	gelidity
bn:00018388n	frisson
bn:00018414n	चिमनी धुआँकश chimneys चिमनी_ढेर स्मोक_स्टैक
bn:00018415n	दीपक_पाइप
bn:00018426n	ठोड़ी चिबुक ठुड्डी
bn:00018428n	ठोड़ी_अप
bn:00018493n	
bn:00018545n	छेनी रुखानी
bn:00018557n	politesse
bn:00018629n	chlorpromazine thorazine largactil
bn:00018637n	ठसाठस पव्वर
bn:00018638n	गर्म_चॉकलेट हॉट_चॉकलेट गर्म_कोको पीने_चॉकलेट
bn:00018660n	पसंद
bn:00018661n	चुनाव चयन विकल्प
bn:00018665n	कोरस वृन्दगान समूहगान choirs कॉन्सर्ट_गाना_बजानेवालों कोरसदल_का_गायन गाना_बजानेवालों गाना_बजानेवालों_को_निदेशक भजन_संगीत मिश्रित_कोरस मिश्रित_गाना_बजानेवालों मुखर_कलाकारों_की_टुकड़ी
bn:00018670n	गवैये
bn:00018692n	खिन्नता ढिठाई
bn:00018744n	जीवा
bn:00018756n	कार्य काम घर_का_काम
bn:00018783n	टेक बचना
bn:00018805n	यीशु_मसीह यीशु ईसा_मसीह जीजस_क्राइस्ट जीसस_क्राइस्ट ईसा जीज़स_क्राइस्ट परमपिता_परमेश्वर_का_पुत्र येशुआ यीशू गुड_शेफर्ड नासरत_का_यीशु नासरी मसीह
bn:00018815n	बप्तिस्मा_करना
bn:00018818n	ईसाई ईसाइयों
bn:00018819n	कलीसिया चर्च ईसाई_चर्च
bn:00018828n	ईसाई_धर्म ईसाइयत मसीही_धर्म इसाई इसाई_धर्म 'गीतांजलि_हरिवृजेश इनकोटर्म्स ईसाइ ईसाई_मत ईसाई_मिशन ईसाईयत क्रिश्चियन गडासरु_झील घधासरु_झील डावोली_मीठी पण बिक्री_से_जुड़े_प्रचार राजेंद्र_किशोर सक्ती मुख्यधारा_के_ईसाई_धर्म
bn:00018843n	क्रिसमस_कार्ड बड़े_दिन_की_शुभकामनाओं_का_कार्ड
bn:00018869n	रंग chromaticity chromaticity_आरेख वार्णिकता
bn:00018875n	वर्णलेखन हिूनदी क्रोमैटोग्राफी वर्णलेखिकी chromatograph chromatographic तरल_क्रोमैटोग्राफी विश्लेषणात्मक_क्रोमैटोग्राफी स्थिर_चरण
bn:00018876n	क्रोमैटोग्राफी_स्तंभ स्तंभ
bn:00018885n	क्रोमिक_अम्ल क्रोमिक_एसिड
bn:00018887n	स्टेनलेस_स्टील क्रोमियम_इस्पात स्टेनलेस
bn:00018976n	चक_वैगन chuckwagon
bn:00018995n	गिरजाघर चर्च कलीसा गिरजा कलीसिया गिर्जा गिर्जाघर चर्च_के_निर्माण
bn:00018996n	चर्च_सेवा चर्च_सेवाओं
bn:00019003n	चर्च_पिता चर्च_के_पिता
bn:00019013n	कैथोलिक_गिरजा कैथोलिक_गिरजाघर पश्चिमी_चर्च रोमन_कैथोलिक_चर्च रोम_के_चर्च रोमन_कैथोलिक रोमन_चर्च
bn:00019028n	क़ब्रिस्तान भगवान_एकड़
bn:00019056n	निशान_ऊतक निशान cicatrice scarring घाव_का_निशान
bn:00019082n	सिगार_बॉक्स
bn:00019083n	सिगार_बट
bn:00019098n	सीलिएट ciliates ciliophoran रोमक_प्रोटोजोआ
bn:00019114n	सिनसिनाटी cincinnati
bn:00019120n	कमरबंद अंगोछा सैश
bn:00019169n	वृत्त चक्र हलकों
bn:00019181n	हवाई_क्षेत्र_यातायात_पैटर्न
bn:00019187n	circuitry इलेक्ट्रॉनिक_सर्किट
bn:00019196n	
bn:00019218n	
bn:00019219n	परिस्थिति संदर्भ
bn:00019220n	विचार
bn:00019222n	भाग्य
bn:00019266n	
bn:00019281n	नागरिक
bn:00019283n	नागरिक नागरिकों_है
bn:00019284n	नागरिकों_समिति
bn:00019295n	
bn:00019319n	शहर नगर बड़ा_शहर मेट्रो_सिटी शहरी शहरों शहरी_केंद्र महानगर महानगर_है
bn:00019320n	पीपुल्स_रिपब्लिक_ऑफ_चाइना_का_प्रशासनिक_प्रभागों_के_बारे_है शहर
bn:00019333n	महापौर मेयर बारीपदा शहर_प्रबंधक mayoral पुराध्यक्षता महापौर_अभिनय महापौरों रीव शहर_के_प्रशासक स्री_महापालिकाध्यक्ष
bn:00019336n	लॉस_एंजेलिस लॉस_एंजिल्स लॉस_ऐन्जेलिस लॉस_एंजिलिस लास_एंजेल्स लॉस_एंजलिस लॉस_एंजिंल्स लॉस_एंजेल्स लॉस_एंजेल्स,_कैलिफोर्निया लॉस_एन्जिलिस लॉस_एन्जिल्स लॉस_ऐन्जलीज़ एन्जिल्स_के_सिटी
bn:00019362n	सिविल_विधि_की_विधिक_प्रणाली
bn:00019374n	सिविल_सेवा सरकारी_कर्मचारी सिविल_सेवक सिविल_सेवकों
bn:00019378n	गृहयुद्ध गृह_युद्ध गृह_युद्धों आपसी_युद्ध नागरिक_युद्ध
bn:00019380n	नागरिक नागरिकों
bn:00019383n	संस्कृति
bn:00019384n	सभ्यता तहज़ीब मानव_सभ्यता प्राचीन_सभ्यता प्राचीन_सभ्यताओं सभ्य सभ्यताओं
bn:00019403n	
bn:00019404n	तार्किक_प्रस्ताव दावा प्रस्ताव साध्यात्मक
bn:00019405n	
bn:00019406n	
bn:00019410n	दावेदार
bn:00019414n	bivalvia क्लैम
bn:00019436n	clannishness cliquishness ख़ासियत
bn:00019439n	जीभ जिह्वा ज़बान रसना लिसान
bn:00019459n	lucidness स्पष्टता
bn:00019477n	ग्रेड फार्म वर्ग
bn:00019478n	सामाजिक_वर्ग वर्ग कुल ज़ात जिंस जिनस बंस बिरादरी वंश आर्थिक_वर्ग वर्ग_प्रणाली वर्ग_समाज सामाजिक_-_आर्थिक_वर्ग सामाजिक_आर्थिक_वर्ग सामाजिक_आर्थिक_समूह सामाजिक_वर्गों
bn:00019479n	ऐच्छिक पाठ्यक्रम शिक्षा_के_पाठ्यक्रम
bn:00019480n	विभाजन
bn:00019501n	सहपाठी हमजमात
bn:00019566n	शास्त्रीय_संगीत शास्त्रीय कला_संगीत गंभीर_संगीत पश्चिमी_कला_संगीत पश्चिमी_शास्त्रीय_संगीत यूरोपीय_शास्त्रीय_संगीत शास्त्रीय_संगीतकारों शास्रीय_संगीत
bn:00019578n	क्लासिक कालजयी क्लासिक्स शास्त्रीय_अध्ययन शास्त्रीय_भाषाशास्त्र शास्त्रीय_साहित्य
bn:00019618n	
bn:00019624n	मृत्तिका चिकनी_मिट्टी मिट्टी clays
bn:00019625n	पंक कीचड़
bn:00019637n	clayware बर्तन मिट्टी_के_बर्तनों
bn:00019643n	cleanser एजेंट_सफाई
bn:00019647n	सफाई
bn:00019658n	पारदर्शी
bn:00019685n	scissure
bn:00019708n	क्षमादान दया
bn:00019718n	मुट्ठी clenched_मुट्ठी उठाया_मुट्ठी
bn:00019727n	पादरी ईसाई_पादरी ईसाई_मंत्री कपड़े_का_आदमी ठहराया_मंत्री धार्मिक_मंत्री मंत्री रेवरेंड
bn:00019735n	क्लर्क
bn:00019736n	दुकान_क्लर्क दुकान_सहायक बेचनेवाली
bn:00019762n	ग्राहक
bn:00019763n	ग्राहक असामी ख़रीदार मुवक्किल
bn:00019767n	चट्टान चट्टानों रॉक_चेहरा
bn:00019781n	
bn:00019787n	चरमोत्कर्ष
bn:00019788n	चरमसुख चरमोत्कर्ष मामोन्माद रतिक्षण ओगाज़्म यौन_चरमोत्कर्ष
bn:00019792n	
bn:00019848n	समय
bn:00019878n	नाली_व्यवस्था
bn:00019887n	घड़ी घडी यांत्रिक_घड़ी
bn:00019893n	कालद_समय समय
bn:00019918n	बिंदु_को_रोकने_के
bn:00019923n	कॉल_बंद दाढ़ी_बंद बाल_-_बाल_बचना
bn:00019936n	क्लोज_सर्किट
bn:00019951n	आभ्यंतर_सम्बंध अंतरंगता अंतरंग_संबंध
bn:00019955n	अलमारी studiolo कैबिनेट
bn:00019978n	थक्का रक्तकण
bn:00019980n	कपड़ा वस्त्र कपड़े
bn:00019992n	
bn:00020001n	बादल
bn:00020002n	बादल मेघ अभ्र बादलों_का_वर्गीकरण बादल_गठन
bn:00020012n	बादल_फटना कैसे_फटते_हैं_बादल मूसलधार_बारिश धार
bn:00020039n	श्रेणी संगठन संगम समाज guilds क्लब निजी_क्लब व्यापारी_समाज शिल्प_guilds शिल्प_समाज सामाजिक_क्लब सोने_का_मुलम्मा_करना
bn:00020041n	क्लब_हाउस
bn:00020042n	गोल्फ_क्लब
bn:00020057n	clucking कुड़कुड़ाना
bn:00020058n	सुराग
bn:00020082n	घबड़ाना घोड़ी_का_घोंसला हडबडी
bn:00020110n	सह_घटना
bn:00020111n	सहकारी_समिति सहकारिता सह_ऑप्स सह_सेशन सहकारी सहकारी_समितियों
bn:00020112n	सह_चुनते सहवरण
bn:00020114n	समन्वय तालमेल_बैठाना
bn:00020118n	workfellow सहकर्मी साथी_कार्यकर्ता
bn:00020119n	कोच प्रबंधक मुंतज़िम मुंसरिम मैनेजर सहायक_कोच सहायक_प्रमुख_कोच
bn:00020128n	coaction
bn:00020133n	कोयला कोयले कोयला_उद्योग कोयला_निकाल_दिया कोल_बेड स्टीम_कोयला
bn:00020164n	सागरतट तट तटीय तटीय_क्षेत्र तटों समुंदर_का_किनारा समुद्र_-_तट समुद्र_तट समुद्र_तट_के
bn:00020167n	
bn:00020184n	कोट
bn:00020194n	कपड़ा_परिष्करण परिष्करण वस्त्र_परिष्करण सतह_के_उपचार सतह_परिष्करण
bn:00020229n	कोका_कोला कोका-कोला कोक कोका_कोला_कंपनी कोक_की_बोतल
bn:00020266n	मुर्ग़ा muraga कुक्कुट मुरगा मुर्गा
bn:00020295n	कॉकपिट
bn:00020320n	सिर नारियल नारियल_के_पेड़
bn:00020329n	कोकून
bn:00020348n	कोडा codetta
bn:00020352n	कोड कानून_कोड कानूनों_के_कोड संहिताकरण
bn:00020378n	correlations सहसंबंध सहसंबंध_के_गुणांक सहसंबंध_गुणांक सहसंबंधी सहसंबद्ध सांख्यिकीय_सहसंबंध
bn:00020414n	कॉफ़ी कहवा काफी क़हवा काफ़ी कोफ़ी कॉफी कॉॅफी कोफी
bn:00020445n	methodological_कठोरता_हैं कठोर कठोरता गणितीय_परिशुद्धता
bn:00020446n	ठोस_सबूत सबूत
bn:00020452n	ज्ञान विद्या संज्ञान noesis अनुभूति संज्ञानात्मक संज्ञानात्मक_क्षमता संज्ञानात्मक_क्षमताओं संज्ञानात्मक_प्रक्रियाओं संज्ञानात्मक_प्रसंस्करण संज्ञानात्मक_समारोह संज्ञानों
bn:00020471n	जुटना समूह_संयोगशीलता सामाजिक_सामंजस्य
bn:00020490n	वोर्ल
bn:00020497n	सिक्का खुदाई सिक्के
bn:00020534n	जुकाम ज़ुकाम सर्दी प्रतिश्याय साधारण_ज़ुकाम सामान्य_ज़ुकाम nasopharyngitis आम_सर्दी
bn:00020535n	कम_तापमान ठंड
bn:00020548n	ठंड_फ्रेम शीशा_-_घर
bn:00020563n	शीतयुद्ध शीत_युद्ध
bn:00020574n	सैम्युअल_टेलर_कॉलरिज samuel_taylor_coleridge सेम्येल_टेलर_कोलरिज coleridge सेमुअल_टेलर_कॉलरिज
bn:00020593n	महाविद्यालय collagist असेंबल कोलाज ध्वनि_महाविद्यालय
bn:00020598n	
bn:00020602n	तम्बू ख़ैमा डेरा तंबू शामियाना तम्बुओं तम्बूओं खुलने_और_बंधनेवाला_आश्रय टेंट बियर_तम्बू
bn:00020603n	कॉलर विंग_कॉलर
bn:00020636n	
bn:00020638n	कलेक्टर_के_मद मॉडल
bn:00020641n	कॉलेज
bn:00020688n	मिलीभगत
bn:00020701n	बृहदान्त्र
bn:00020706n	कर्नल
bn:00020708n	औपनिवेशिक
bn:00020714n	उपनिवेशवादी colonists आबादकार बसने बसे
bn:00020718n	कोलोनी कॉलोनी निपटान
bn:00020719n	
bn:00020726n	रंग काला कलर रंग_समानार्थी रंगों रंग_विज्ञान
bn:00020729n	रंग_के_लोगों
bn:00020765n	कालरत्युअर_सब_से_ऊँचे_सुर_का_गीत लिरिक_कालरत्युअर_सब_से_ऊँचे_सुर_का_गीत
bn:00020822n	स्तंभ
bn:00020823n	स्तंभ
bn:00020824n	स्तंभ
bn:00020826n	
bn:00020831n	कॉलम_इंच स्तंभ_इंच
bn:00020849n	कंघा
bn:00020858n	लड़ाई
bn:00020872n	संयोजन
bn:00020897n	
bn:00020899n	हास्य_अभिनेता कॉमेडियन हास्य
bn:00020904n	प्रहसन कॉमेडी comedic कॉमेडी_लेखक हास्य
bn:00020913n	आराम
bn:00020932n	
bn:00020941n	
bn:00020943n	
bn:00020955n	कमांडेंट कमांडिंग_अधिकारी कमान_अधिकारी
bn:00020961n	
bn:00020977n	टिप्पणी
bn:00020978n	कमेंटरी टिप्पणी
bn:00020979n	किंवदंति गपशप
bn:00020980n	
bn:00020982n	वाणिज्य कामर्स_क्या_है तिजारत व्यापार सौदा commercialized अंतरराष्ट्रीय_वाणिज्य वाणिज्यिक_विकास व्यापारिक व्यापारिकता
bn:00020987n	वाणिज्यिक वाणिज्यिक_संदेश
bn:00020997n	व्यावसायिक_कानून लेक्रस_mercatoria वाणिज्य_क़ानून वाणिज्यिक_कानून व्यापार_और_वणिज्य_संबंधी_जो_सामान्य_कानून_से_भिन्न_होता_है व्यापार_कानून व्यापारिक_सन्नियम
bn:00021008n	दया
bn:00021013n	
bn:00021015n	समिति कमेटी ispolkom आयोग कार्यकारी_समिति संचालन_समिति संसदीय_समिति समितियों सम्मेलन_समिति स्थायी_समिति स्थायी_समितियों
bn:00021030n	आयुक्त कमिश्नर आयुक्तों
bn:00021033n	committedness
bn:00021038n	memorization memorisation स्मृति_के_लिए_दफ़न
bn:00021042n	committeeman
bn:00021051n	बाग़ कॉमन्स पार्क सामान्य
bn:00021149n	आम_लोगों लोक
bn:00021160n	नमक साधारण_नमक लवण लोन आम_नमक टेबल_नमक नमक_उत्पादन नमक_था सोडियम_नमक
bn:00021207n	लोकतंत्र जनतंत्र प्रजातंत्र जम्हूरियत लोकशाही लोकतन्त्र धर्मनिरपेक्ष_लोकतंत्र लोकतंत्र_आंदोलन लोकतंत्रों लोकतांत्रिक लोकतांत्रिक_सरकार
bn:00021211n	पोर्टो_रीको प्युर्तोरिको पर्टो_रीको प्युर्तो_रिको प्यूर्टो_रिको पुएर्टो_रीको पुएर्तो_रिको पर्टो_रीको_के_राष्ट्रमंडल
bn:00021212n	hurly_स्थूल kerfuffle भाग_-_दौड़ हू_-_हा हू_-_हां
bn:00021217n	
bn:00021221n	संचार miscommunication संचार_कौशल संवाद संवाद_स्थापित_करने सामाजिक_संचार
bn:00021222n	
bn:00021223n	
bn:00021233n	पवित्र_भोज भोज सांस्कारिक_manduction
bn:00021236n	विज्ञप्ति
bn:00021240n	साम्यवादी_समाज राज्यहीन_साम्यवाद राज्यविहीन_साम्यवाद साम्यवाद
bn:00021248n	समुदाय जाति जमात संघ समाज ओरांगूटान आवासीय_समुदाय समुदायों सांप्रदायिक
bn:00021251n	हितों_के_समुदाय
bn:00021268n	उपनगरीय_रेल उपनगरीय_रेलवे कम्यूटर कम्यूटर_रेल कम्यूटर_रेलवे लोकल_ट्रेन
bn:00021279n	
bn:00021286n	कंपनी उद्यम कारबार कारोबार व्यवसाय व्यापार निगम कम्पनियाँ कम्पनियों कम्पनी कंपनियों
bn:00021287n	कंपनी
bn:00021288n	मंडली
bn:00021289n	
bn:00021290n	पार्टी
bn:00021295n	कंपनी_ऑपरेटर
bn:00021301n	तुलनात्मक_साहित्य
bn:00021303n	तुलना
bn:00021304n	तुलना संबंधपरक_ऑपरेटर
bn:00021305n	
bn:00021319n	
bn:00021326n	बराबर हमजोली
bn:00021329n	मुआवजा
bn:00021335n	क्षमता योग्यता
bn:00021337n	प्रतियोगिता बाजार_में_प्रतिस्पर्धा
bn:00021338n	प्रतियोगिता प्रतिस्पर्धा खेल_प्रतियोगिता प्रतियोगियों प्रतियोगी
bn:00021345n	आत्मसंतोष आत्मिकसुख शालीनता
bn:00021351n	पूरक
bn:00021352n	
bn:00021353n	पूर्ण_पूरक
bn:00021366n	
bn:00021369n	समग्र
bn:00021386n	
bn:00021391n	प्रशंसा
bn:00021394n	कारक घटक तत्व
bn:00021395n	इयूक्लिडियन_वेक्टर घटक वेक्टर वेक्टर_घटक संघटक_भाग सदिश_राशि हिस्सा हिस्से
bn:00021396n	तत्व
bn:00021397n	संगीत_रचयिता संगीत_रचियता संगीतकारों_की_सूची संगीतकार संगीत_संगीतकार
bn:00021406n	शारीरिक_रचना
bn:00021408n	टुकड़ा संगीत_रचना ओपुस संगीत_का_टुकड़ा संगीत_टुकड़ा संरचना
bn:00021410n	कागज
bn:00021413n	कम्पोस्ट कम्पोस्ट_खाद डी_कम्पोस्टिंग vermiculture कीड़ा_खेत_है खाद खाद_चाय
bn:00021446n	सुलह समझौता
bn:00021452n	महालेखा_नियंत्रक
bn:00021456n	अनूठा_आवेग
bn:00021458n	बाध्यकारी बाध्यकारी_व्यवहार
bn:00021459n	compulsiveness compulsivity
bn:00021464n	कंप्यूटर संगणक कम्प्यूटर अंकीय_अभिकलित्र अभिकलित्र कमप्यूटर कम्पयूटर कम्प्युटर कम्प्यूटर_सिस्टम संगणकों इलेक्ट्रॉनिक_कंप्यूटर आँकड़ा_संसाधित्र कंप्यूटर_प्रौद्योगिकी कंप्यूटर_सिस्टम कंप्यूटिंग_डिवाइस कंप्यूटिंग_मशीन डिजिटल_कंप्यूटिंग सामान्य_प्रयोजन_कंप्यूटर सूचना_संसाधन_प्रणाली
bn:00021483n	कंप्यूटर_स्मृति संगणक_भंडारण आंतरिक_स्मृति कंप्यूटर_डेटा_भंडारण कंप्यूटर_भंडारण कंप्यूटर_संग्रहण जानकारी_भंडारण डिस्क_ड्राइव प्राथमिक_भंडारण प्राथमिक_स्मृति भंडारण_मीडिया मुख्य_स्मृति रिकॉर्डिंग_मीडिया स्मृति स्मृति_बोर्ड
bn:00021512n	
bn:00021525n	निजता गोपनीयता प्राइवसी व्यक्तिगत
bn:00021526n	कवर गुप्त
bn:00021536n	
bn:00021538n	सान्द्रता सांद्रता संकेंद्रण एकाग्रता विश्लेषणात्मक_एकाग्रता
bn:00021547n	अवधारणा संकल्पना अवधारणाएँ अवधारणाओं कांसेप्ट संप्रत्यय गर्भाधान निर्माण निर्माण_करना
bn:00021549n	गर्भाधान
bn:00021550n	
bn:00021551n	नवाचार आविष्कार नवप्रवर्तन अन्वेषकों अभिनव खोज तकनीकी_नवाचार
bn:00021556n	चिंता
bn:00021558n	चिंता
bn:00021559n	संगीत_गोष्ठी सहवादन कॉन्सर्ट कॉन्सर्ट_टूर दौरे लाइव_कॉन्सर्ट संगीत संगीत_कार्यक्रम
bn:00021566n	
bn:00021570n	रियायत
bn:00021572n	कंसेसियनार
bn:00021584n	निर्णय निष्कर्ष
bn:00021587n	युक्तिवाद
bn:00021588n	
bn:00021590n	निर्णय
bn:00021607n	कंक्रीट काँक्रीट ठोस workability
bn:00021616n	concurrence सहमति
bn:00021628n	वाक्य आपराधिक_विश्वास जेल_की_सजा दोषी_पाया प्रतिबद्धता सजा_के_निर्णय
bn:00021631n	
bn:00021644n	हालत
bn:00021645n	
bn:00021649n	
bn:00021658n	वातानुकूलित_प्रोत्साहन
bn:00021662n	अनुकूलन
bn:00021675n	तार तार_का_आयोजन
bn:00021678n	कंडक्टर संगीत_निर्देशक
bn:00021704n	खरगोश ख़रगोश खरहा शशक सुस्सा पंचखरहा bunnies चलनेवाली
bn:00021721n	सम्मेलन
bn:00021731n	
bn:00021737n	आध्यात्मिक_पिता कंफ़ेसर
bn:00021742n	विश्वास अति_आत्मविश्वास
bn:00021751n	आकार रूप
bn:00021757n	
bn:00021767n	
bn:00021769n	संघर्ष द्वन्द्व मतभेद
bn:00021774n	अनुरूपता
bn:00021782n	तसलीम
bn:00021783n	
bn:00021788n	भ्रम मानसिक_भ्रम घबराहट
bn:00021789n	
bn:00021834n	बधाई मुबारक extolment यश
bn:00021837n	मण्डली
bn:00021844n	अमेरिकी_कांग्रेस अमरीकी_कांग्रेस संयुक्त_राज्य_अमेरिका_कांग्रेस एस_यू_कांग्रेस कांग्रेस संयुक्त_राज्य_अमेरिका_के_कांग्रेस संयुक्त_राज्य_कांग्रेस
bn:00021852n	congresswoman कांग्रेसियों कांग्रेसी महासभा_का_सदस्य महासभा_की_सदस्या
bn:00021869n	अटकल अनुमान ऊहा मान_लिया
bn:00021876n	संयुग्म समाधान_संयुग्म
bn:00021902n	संबंध
bn:00021903n	विद्युत_संयोजक संबंधक संयोजक
bn:00021911n	कनेक्शन
bn:00021921n	गुस्से_का_आवेश आवेश गुस्सा
bn:00021940n	
bn:00021945n	अंतःकरण अंत:करण अंतश्चेतना अतिभावुकता नैतिक_भावना संदेह सही_और_गलत_की_भावना
bn:00021946n	अन्तरात्मा ज़मीर विवेक
bn:00021951n	चेतना चेतन_तत्त्व चेतनाएँ परम_तत्त्व
bn:00021959n	सहमति
bn:00021961n	परिणाम प्रभाव
bn:00021962n	
bn:00021965n	
bn:00021966n	प्रकृति_संरक्षण संरक्षण संरक्षण_नैतिक
bn:00021974n	रूढ़िवाद रूढ़िवादी रूढीवादी प्रियता अत्यन्त_रूढ़िवादी अल्ट्रा_रूढ़िवादी धार्मिक_रूढ़िवादी परंपरावादियों राजनीतिक_रूढ़िवादी
bn:00021989n	
bn:00021990n	
