bn:00000004n	صفر 0
bn:00022443n	
bn:00022452n	تعاون
bn:00022467n	
bn:00022525n	
bn:00022526n	
bn:00022527n	
bn:00022556n	
bn:00022592n	
bn:00022626n	
bn:00022629n	
bn:00022695n	
bn:00022696n	
bn:00022726n	
bn:00022733n	
bn:00022734n	
bn:00022735n	
bn:00022777n	
bn:00022811n	شرکہ corporation سياسہ شركہ
bn:00022814n	
bn:00022831n	
bn:00022851n	
bn:00022856n	
bn:00022861n	
bn:00022867n	
bn:00022884n	
bn:00022897n	
bn:00022962n	
bn:00022991n	کائنات عالم_ظاہر کون cosmic cosmos كائنات كائناتي كون کائناتی
bn:00022995n	لاگت
bn:00022996n	دام قیمت
bn:00022997n	
bn:00023011n	
bn:00023028n	ملبوسات
bn:00023070n	
bn:00023072n	کپاس كپاس
bn:00023101n	صوفہ صوفہ‎
bn:00023119n	مجلس‎
bn:00023134n	
bn:00023136n	
bn:00023137n	
bn:00023140n	گنتی فہرست لسٹ‎ گنتي
bn:00023153n	قیافہ_شناسی قيافهٔ_شناسي قيافہ_شناسي قیافهٔ_شناسی
bn:00023156n	
bn:00023196n	gegenschein
bn:00023208n	
bn:00023235n	ملک جرمنی_کی_ریاستیں میکسیکو_کی_ریاستیں دیش‎ راشٹر‎ ملک‎ country جرمني_كي_رياستيں ملك
bn:00023236n	خود_مختار_ریاست ریاست قوم ملک دیش‎ رِیاسَت‎ قوم‎ مُلْک‎ کِشْوَر‎ خود_مختار_رياست رياست
bn:00023237n	دیہی_علاقہ rural_area ديه_علاقہ ديہي_علاقہ دیه_علاقہ
bn:00023241n	
bn:00023245n	
bn:00023248n	
bn:00023251n	
bn:00023258n	مسلح_بغاوت فوجي_بغاوت فوجی_بغاوت
bn:00023260n	
bn:00023268n	
bn:00023269n	
bn:00023270n	
bn:00023274n	
bn:00023285n	
bn:00023286n	
bn:00023287n	
bn:00023288n	
bn:00023295n	
bn:00023301n	عَدالَت‎ ٹِریبُونَل‎
bn:00023302n	عَدالَت‎
bn:00023310n	آن٘گَن‎ آنگن‎
bn:00023333n	عم_زاد کزن
bn:00023347n	
bn:00023362n	
bn:00023381n	
bn:00023436n	ہرٹز ہرٹز‎
bn:00023462n	
bn:00023470n	
bn:00023491n	پالْنا‎ کَھٹولا‎
bn:00023496n	مہارت
bn:00023497n	سفینہ سفينہ
bn:00023498n	
bn:00023542n	فقاریہ فقارئیے فقاری فقاری_جانداروں فقاری_جانور vertebrate ريڑھ_دار_جاندار ریڑھ_دار_جاندار فقارئيے فقاري فقاري_جاندار فقاري_جانداروں فقاري_جانور فقاريہ
bn:00023632n	
bn:00023652n	
bn:00023653n	
bn:00023654n	تَعارُف‎
bn:00023658n	
bn:00023659n	تخلیق_کاری
bn:00023661n	
bn:00023667n	
bn:00023668n	
bn:00023670n	
bn:00023671n	کریڈٹ
bn:00023678n	
bn:00023685n	credo
bn:00023747n	شام_کا_دھندلکا سانج شام_كا_دھندلكا
bn:00023757n	
bn:00023758n	جغرافیائی_چوٹی شکھر‎ چوٹی‎ summit پہاڑی_چوٹی جغرافيائي_چوٹي پہاڑي_چوٹي
bn:00023774n	
bn:00023782n	ملاح
bn:00023796n	جھینگر‎
bn:00023807n	جُرم اَپْرادھ‎ جُرْم‎ جِنایَت‎
bn:00023815n	مُجرِم‎
bn:00023835n	
bn:00023844n	بحران بُحْران‎
bn:00023845n	
bn:00023853n	
bn:00023854n	مِعْیار‎
bn:00023867n	
bn:00023876n	
bn:00023910n	
bn:00023931n	
bn:00023964n	
bn:00023980n	
bn:00023990n	
bn:00024047n	
bn:00024049n	
bn:00024054n	
bn:00024065n	
bn:00024076n	
bn:00024081n	
bn:00024098n	
bn:00024103n	
bn:00024162n	آنسو رونا آنسو‎ آنسوؤں اشک رو آنسووں اشك انسو انسوؤں انسووں
bn:00024209n	بلور قلمیں بِلُور‎ قلميں
bn:00024210n	
bn:00024244n	
bn:00024247n	کیوبا جمہوريہ_كيوبا جمہوریہ_کیوبا كيوبا کوبا
bn:00024258n	مکعب مکعب‎ گھن‎ مكعب
bn:00024266n	لٹر l
bn:00024272n	مکعبیت
bn:00024359n	
bn:00024369n	ثقافت ثقافت‎ ثقافتوں ثقافتي ثقافتی
bn:00024394n	
bn:00024407n	چوت‎
bn:00024410n	گلاس پیالی جام کپ پیالا cup كوب كپ پيالي کوب
bn:00024411n	
bn:00024412n	
bn:00024459n	خادم_دین پاسٹر منسٹر
bn:00024461n	شفا
bn:00024486n	
bn:00024488n	تجسس
bn:00024504n	
bn:00024510n	برقی_رو current electric_current برقي_جار برقي_رو برقی_جار جار_برقي جار_برقی كرنٹ کرنٹ
bn:00024511n	
bn:00024512n	
bn:00024525n	
bn:00024541n	
bn:00024550n	منحنی curve منحني
bn:00024551n	
bn:00024588n	بچوں_کی_نگہداشت
bn:00024591n	رسم‎ رواج‎ ضابطہ‎ عرف‎
bn:00024592n	
bn:00024599n	
bn:00024630n	
bn:00024636n	
bn:00024662n	
bn:00024724n	
bn:00024726n	
bn:00024880n	
bn:00024905n	خلمائع سائٹوپلازم cytoplasm خلومایہ خلومايہ
bn:00024933n	چیکوسلوواکیہ چیکو_سلوواکیہ چیکو_سلوواکیہ‎ چيكوسلاواكيہ چيكوسلواكيہ چيكوسلوواكيہ چیکوسلاواکیہ چیکوسلواکیہ
bn:00024942n	
bn:00024989n	
bn:00024998n	دیمون
bn:00025024n	
bn:00025029n	
bn:00025062n	ڈیلاس dallas ڈيلاس
bn:00025080n	نقصان ضرر
bn:00025083n	قیمت دام دام‎ قیمت‎ مولیہ‎
bn:00025084n	
bn:00025097n	
bn:00025142n	رقص dance ڈانس
bn:00025144n	رقص ناچ نرتیہ رقص‎ ناچ‎ نرتیہ‎
bn:00025153n	
bn:00025170n	
bn:00025191n	ڈینش_زبان ڈينش da dan ڈنماركي_زبان ڈنمارکی_زبان ڈينش_زبان
bn:00025196n	ڈنمارک دنمارك دنمارک مملكت_ڈنمارك مملکت_ڈنمارک ڈنمارك ڈنمارك_كي_مختصر_تاريخ ڈنمارک_کی_مختصر_تاریخ ڈينمارك ڈینمارک
bn:00025198n	دانتے دانتے_الیگیری dante_alighieri dante دانتے_اليگيري
bn:00025211n	
bn:00025233n	
bn:00025234n	
bn:00025236n	رات شب
bn:00025241n	قرون_وسطیٰ قرون_وسطی medieval middle_ages ازمنہ_وسطي ازمنہ_وسطيٰ ازمنہ_وسطی ازمنہ_وسطیٰ ازمنۂ_وسطي ازمنۂ_وسطيٰ ازمنۂ_وسطی ازمنۂ_وسطیٰ عہد_وسطي عہد_وسطی قرون_وسطي قرون_وسطيٰ قرون_وسطٰي قرون_وسطٰی
bn:00025244n	
bn:00025256n	
bn:00025314n	ڈیٹا معطیات ڈيٹا data معطيات مواد ڈاٹا
bn:00025320n	
bn:00025336n	
bn:00025337n	
bn:00025364n	بیٹی دختر لڑکی پتری کڑی بیٹی‎ دُخْتَر‎ لَڑْکی‎ پُتْری‎ کُڑی‎ بیٹیاں بيٹي بيٹياں
bn:00025407n	
bn:00025417n	دن
bn:00025418n	
bn:00025419n	دن_کا_وقت daytime دن_كا_وقت
bn:00025420n	
bn:00025421n	
bn:00025428n	
bn:00025436n	
bn:00025441n	
bn:00025455n	دن_کی_روشنی روشنیروز daylight روشنيروز
bn:00025463n	
bn:00025464n	
bn:00025500n	
bn:00025501n	
bn:00025510n	
bn:00025524n	
bn:00025540n	
bn:00025546n	
bn:00025547n	
bn:00025567n	
bn:00025569n	
bn:00025582n	موت اِنْتِقال‎ مَرْگ‎ مَوت‎ وَفات‎ اموات غير_حياتي غیر_حیاتی فوت موت_ثاني موت_ثانی ميت میت نعش وفات ڈيتھ ڈیتھ
bn:00025583n	مرت مرگ موت
bn:00025584n	
bn:00025585n	
bn:00025588n	
bn:00025608n	
bn:00025621n	
bn:00025634n	
bn:00025643n	
bn:00025645n	دسمبر december
bn:00025646n	عشرہ
bn:00025675n	
bn:00025681n	
bn:00025683n	
bn:00025686n	31_دسمبر نئے_سال_کی_شام نئے_سال_كي_شام
bn:00025719n	
bn:00025732n	
bn:00025733n	
bn:00025735n	
bn:00025737n	امریکی_اعلان_آزادی
bn:00025744n	
bn:00025746n	
bn:00025754n	
bn:00025755n	
bn:00025756n	انحلال
bn:00025764n	
bn:00025765n	سجاوٹ‎
bn:00025766n	تمغا تمغہ
bn:00025770n	
bn:00025777n	
bn:00025780n	
bn:00025781n	
bn:00025792n	
bn:00025798n	
bn:00025800n	
bn:00025803n	
bn:00025825n	
bn:00025827n	
bn:00025855n	
bn:00025856n	احساس_محرومی
bn:00025878n	
bn:00025879n	
bn:00025884n	ملزم
bn:00025885n	محافظ‎ مُحافِظ‎
bn:00025889n	وزارت_دفاع
bn:00025903n	
bn:00025908n	
bn:00025909n	
bn:00025913n	
bn:00025916n	
bn:00025923n	
bn:00025928n	تعریف تَعْرِیف‎
bn:00025929n	
bn:00025950n	
bn:00025954n	ادائیگی‎
bn:00025965n	
bn:00025966n	
bn:00025967n	
bn:00025995n	الوہیت معبود ایزد‎ الٰہ الوهت الوہيت
bn:00026000n	ٹفن ظہرانہ دُوپَہَر_کا_کھانا‎ ظُہْرانَہ‎_لَنْچ‎
bn:00026014n	
bn:00026022n	
bn:00026027n	
bn:00026047n	
bn:00026061n	
bn:00026068n	
bn:00026090n	
bn:00026093n	
bn:00026101n	
bn:00026103n	
bn:00026104n	رسد
bn:00026105n	
bn:00026107n	ضرورت
bn:00026129n	
bn:00026146n	
bn:00026165n	
bn:00026173n	
bn:00026198n	
bn:00026200n	
bn:00026239n	
bn:00026245n	مذہبی_فرقے مذاہب_عالم_کے_فرقے مذاہب_عالم_كے_فرقے
bn:00026259n	کثافت density كثافت
bn:00026262n	
bn:00026279n	دندان_ساز دندان_ساز‎ ڈینٹسٹ‎
bn:00026308n	
bn:00026327n	
bn:00026336n	
bn:00026343n	
bn:00026344n	
bn:00026345n	
bn:00026351n	
bn:00026373n	
bn:00026374n	
bn:00026379n	
bn:00026385n	
bn:00026386n	
bn:00026387n	
bn:00026388n	
bn:00026397n	
bn:00026398n	
bn:00026402n	اداسی دماغی_دباؤ
bn:00026405n	
bn:00026418n	
bn:00026425n	
bn:00026447n	مشتق derivative
bn:00026488n	
bn:00026501n	وضاحت
bn:00026512n	
bn:00026516n	
bn:00026519n	صحرا ریگستان ریگستان‎ desert ريگستان صحراؤں صحراوں
bn:00026530n	
bn:00026535n	طرحبند
bn:00026536n	
bn:00026537n	
bn:00026542n	
bn:00026550n	خواہش
bn:00026551n	
bn:00026554n	
bn:00026574n	تنہائی
bn:00026577n	
bn:00026583n	
bn:00026603n	تقدیر
bn:00026604n	
bn:00026606n	
bn:00026618n	
bn:00026619n	
bn:00026622n	
bn:00026623n	
bn:00026624n	
bn:00026625n	
bn:00026628n	
bn:00026630n	
bn:00026631n	
bn:00026633n	سراغ_رساں جاسوس‎ سراغ_رساں‎ سراغی‎ کهوجی‎ مشورہ_گير_سراغ_رساں مشورہ_گیر_سراغ_رساں
bn:00026638n	مکشاف detect detector sensor محساس مِکشاف ڈٹیکٹر ڈیٹیکٹر مكشاف مِكشاف ڈيٹيكٹر ڈٹيكٹر
bn:00026644n	
bn:00026645n	
bn:00026650n	
bn:00026651n	
bn:00026659n	
bn:00026672n	ڈیٹرائٹ ڈيٹرائٹ
bn:00026684n	جرمنی جرمن جرمني ڈوئچ_لينڈ ڈوئچ_لینڈ
bn:00026691n	
bn:00026695n	
bn:00026696n	
bn:00026697n	
bn:00026698n	
bn:00026699n	
bn:00026700n	
bn:00026701n	
bn:00026706n	
bn:00026716n	آلَہ‎
bn:00026745n	
bn:00026757n	
bn:00026786n	
bn:00026791n	
bn:00026827n	جدلیات جدليات
bn:00026828n	
bn:00026836n	
bn:00026838n	مذاکرہ‎
bn:00026839n	
bn:00026841n	
bn:00026876n	
bn:00026886n	اسہال
bn:00026901n	
bn:00026920n	طاس ڈائس
bn:00026967n	لغت لغات لُغت
bn:00026980n	تعلیم اُپْدیش‎ تعليم
bn:00026986n	
bn:00026996n	
bn:00027011n	
bn:00027022n	انتر‎ فرق‎
bn:00027032n	
bn:00027034n	تفرقی_مساوات differential_equation تفرقي_مساوات
bn:00027036n	
bn:00027037n	
bn:00027041n	
bn:00027042n	
bn:00027043n	
bn:00027053n	انتشار
bn:00027055n	پھیلاو‎
bn:00027059n	کھودنا
bn:00027075n	
bn:00027077n	
bn:00027078n	
bn:00027103n	
bn:00027104n	
bn:00027131n	
bn:00027132n	
bn:00027151n	dimension
bn:00027195n	
bn:00027206n	عشائیہ عشائيہ
bn:00027207n	
bn:00027216n	
bn:00027283n	سفارت_کار
bn:00027303n	
bn:00027343n	
bn:00027352n	
bn:00027353n	جانب
bn:00027354n	
bn:00027355n	انتظام نظامت management
bn:00027356n	
bn:00027357n	
bn:00027366n	ڈائریکٹر بورڈ_رکن
bn:00027368n	تھیٹر_ہدایت_کار
bn:00027386n	
bn:00027387n	گندگی grunge
bn:00027407n	معذور معذوری معذوروں معذوري
bn:00027422n	
bn:00027426n	
bn:00027427n	
bn:00027431n	
bn:00027448n	
bn:00027451n	
bn:00027452n	
bn:00027454n	
bn:00027455n	
bn:00027471n	
bn:00027499n	
bn:00027506n	
bn:00027507n	
bn:00027509n	
bn:00027514n	
bn:00027522n	وعظ خطبہ‎ وعظ‎
bn:00027523n	بَحْث‎ بِباد‎ مُذاکَرَہ‎
bn:00027529n	کھوج_بینی
bn:00027530n	انکشاف‎
bn:00027533n	
bn:00027538n	امتیاز امتیاز‎
bn:00027539n	
bn:00027544n	
bn:00027546n	مرض patho امراض بيماري بيماريوں بیماری بیماریوں
bn:00027549n	
bn:00027553n	
bn:00027566n	شرم
bn:00027573n	تھالی‎ طباق‎ طبق‎ قاب‎
bn:00027605n	
bn:00027624n	
bn:00027653n	
bn:00027661n	
bn:00027664n	
bn:00027665n	
bn:00027666n	
bn:00027670n	
bn:00027672n	
bn:00027682n	
bn:00027685n	مزاج tempérament
bn:00027686n	
bn:00027696n	
bn:00027698n	
bn:00027700n	
bn:00027706n	
bn:00027712n	
bn:00027714n	
bn:00027716n	احتجاج
bn:00027728n	
bn:00027747n	دوری‎ فاصلہ‎
bn:00027749n	فاصلہ لمبائی‎ فاصلهٔ
bn:00027761n	عمل_تقطیر تقطیر‎ تقطیر تقطير عمل_تقطير
bn:00027765n	
bn:00027766n	
bn:00027767n	
bn:00027775n	
bn:00027777n	
bn:00027786n	
bn:00027795n	
bn:00027797n	
bn:00027798n	
bn:00027799n	
bn:00027801n	
bn:00027810n	ضلع عملداری سرزمین‎ علاقہ‎ قلمرو‎ district اضلاع عملداري
bn:00027812n	
bn:00027816n	
bn:00027817n	
bn:00027842n	
bn:00027844n	دیوان
bn:00027862n	
bn:00027865n	
bn:00027874n	
bn:00027880n	
bn:00027898n	
bn:00027909n	
bn:00027911n	روزنامہ_لشکر لشکر
bn:00027912n	
bn:00027937n	طلاق طلاق‎ اسلام_اور_سیاست_کا_تعلق
bn:00027976n	طبیب ڈاکٹر حَکِیم‎ طَبِیب‎ ڈاکْٹَر‎ اطباء طبیبوں اطبا طبيب طبيبوں
bn:00027980n	
bn:00027982n	گودی پن_توڑ_پشتہ گھاٹ‎
bn:00027986n	
bn:00027994n	
bn:00028005n	پی_ایچ_ڈی علامۂِ_فلسفہ ph.d علامہ_فلسفہ علامۂ_فلسفہ عَلّامہ فاضل_فلسفہ پي_ايچ_ڈي
bn:00028013n	مکتب_فکر عقیدہ دبستان_خيال دبستان_خیال مكتب_خيال مكتب_فكر مكتبِ_فكر مكتبۂ_فكر مکتب_خیال مکتبِ_فکر مکتبۂ_فکر
bn:00028014n	ڈاکیومنٹری دستاویزی_ڈراما
bn:00028015n	دستاویز دَسْتاویز‎ سَنَد‎ کاغَذ‎
bn:00028020n	
bn:00028030n	
bn:00028114n	ڈالر
bn:00028119n	
bn:00028141n	
bn:00028155n	
bn:00028160n	
bn:00028175n	
bn:00028176n	
bn:00028188n	جمہوریہ_ڈومینیکن ڈومنیکن_جمہوریہ جمہوريهٔ_ڈومينيكن جمہوريہ_ڈومينيكا جمہوريہ_ڈومينيكن جمہوریهٔ_ڈومینیکن جمہوریہ_ڈومینیکا ڈومينيكن_جمہوريہ ڈومینیکن_جمہوریہ
bn:00028190n	اتوار اتوار‎ ایتوار‎ رویوار‎ یک_شنبہ‎
bn:00028191n	
bn:00028247n	در دروازہ دوار‎ دَرْوازَہ‎
bn:00028248n	دروازہ
bn:00028249n	
bn:00028252n	
bn:00028256n	
bn:00028266n	ڈیوڑھی‎ ڈیوڑی‎
bn:00028270n	
bn:00028286n	
bn:00028288n	
bn:00028319n	
bn:00028320n	
bn:00028329n	
bn:00028341n	
bn:00028385n	
bn:00028425n	شبہ
bn:00028426n	
bn:00028427n	
bn:00028432n	
bn:00028469n	
bn:00028515n	
bn:00028552n	
bn:00028562n	
bn:00028563n	
bn:00028591n	نکاس نكاس
bn:00028604n	کھیل
bn:00028605n	
bn:00028616n	ڈراما_نویس ڈراما_نگار dramatist playwright ناٹك_نگار ناٹک_نگار ڈراما_نويس ڈرامهٔ_نويس ڈرامهٔ_نویس ڈرامہ_نويس ڈرامہ_نویس ڈرامہ_نگار
bn:00028636n	دراز دراز‎
bn:00028638n	
bn:00028639n	تَصْوِیر‎ رَسْم‎
bn:00028658n	خواب خوابوں
bn:00028664n	
bn:00028682n	
bn:00028701n	
bn:00028702n	
bn:00028709n	
bn:00028719n	
bn:00028736n	
bn:00028749n	مشروب‎
bn:00028753n	
bn:00028756n	
bn:00028777n	
bn:00028778n	
bn:00028779n	
bn:00028782n	
bn:00028783n	
bn:00028795n	ڈرائیور
bn:00028809n	
bn:00028821n	
bn:00028834n	
bn:00028861n	
bn:00028863n	سوکھا
bn:00028872n	
bn:00028891n	ڈرم ڈرم‎ ڈھول‎ drum
bn:00028906n	
bn:00028908n	drumlin
bn:00028934n	بھوتل‎ زمین‎ زَمِین‎
bn:00028948n	خشک_ریہرسل
bn:00028953n	
bn:00028967n	
bn:00029010n	بطخ‎
bn:00029049n	
bn:00029050n	مشرق مشرق‎
bn:00029052n	واجب_علمیہ
bn:00029054n	مغرب-سمت مغرب‎
bn:00029062n	
bn:00029065n	
bn:00029071n	
bn:00029096n	
bn:00029097n	
bn:00029105n	
bn:00029109n	ڈمپ_ٹرک‎
bn:00029119n	
bn:00029149n	
bn:00029150n	
bn:00029154n	تکراریت
bn:00029170n	
bn:00029192n	دهول‎
bn:00029209n	
bn:00029239n	واجب
bn:00029240n	
bn:00029277n	
bn:00029324n	
bn:00029336n	عضلی_سو_غذائیہ muscular_dystrophy عضلی_سوغذائیہ عضلي_سو_غذائيہ عضلي_سوغذائيہ
bn:00029364n	
bn:00029372n	کان کان‎ كان
bn:00029373n	
bn:00029385n	ارل اَرْل‎
bn:00029399n	
bn:00029411n	
bn:00029415n	خالص_آمدنی خالص_منافع منافع
bn:00029416n	اَجْرَت‎ تَنْخواہ‎ ویتَن‎
bn:00029424n	زمین ارض‎ زمین‎ پرتھوی‎ دنیا ♁ 🌍 🌎 🌏 🗺 🜨 ارض زمين كرہء_ارض كرۂ_ارض کرہء_ارض کرۂ_ارض
bn:00029425n	
bn:00029428n	
bn:00029430n	
bn:00029445n	
bn:00029448n	زلزلہ زلزلوں زلزلۂ زلزلے
bn:00029457n	
bn:00029458n	
bn:00029462n	
bn:00029463n	
bn:00029545n	ریستوران ریسْتوران‎ ریسْٹورانْٹ‎ طَعَام_گاہ‎ مَطْعَم‎ ہوٹَل‎ ريستوران
bn:00029546n	
bn:00029570n	
bn:00029621n	گونج‎
bn:00029648n	فلکیاتی_احتجاب گرہن
bn:00029650n	دائرۃ_البروج
bn:00029667n	ماہر_معاشیات ماہر_اقتصادیات معاشیات_دان
bn:00029676n	معاشیات سیاسی_معیشت اِقْتِصادِیات‎ مَعاشِیات‎ اقتصاديات اقتصادیات اكنامكس اکنامکس معاشي معاشيات معاشياتي معاشی معاشیاتی
bn:00029678n	معیشت اِقْتِصادِیات‎ اِقْتِصاد‎ مَعِیشَت‎ economy معيشت
bn:00029680n	معاشی_قدر
bn:00029684n	
bn:00029685n	بچت
bn:00029692n	
bn:00029694n	
bn:00029747n	
bn:00029764n	
bn:00029773n	
bn:00029774n	مدیر_اعلی
bn:00029806n	متعلم طالب_علم طالِب_عِلم‎ چھاتر‎ طلبہ
bn:00029807n	
bn:00029808n	
bn:00029809n	
bn:00029815n	
bn:00029857n	
bn:00029871n	
bn:00029872n	
bn:00029876n	اثر_انگیزی
bn:00029877n	
bn:00029889n	
bn:00029897n	
bn:00029899n	
bn:00029909n	
bn:00029913n	انڈا
bn:00029914n	انڈا انڈہ
bn:00029934n	
bn:00029935n	
bn:00029945n	
bn:00030015n	
bn:00030039n	
bn:00030098n	
bn:00030100n	
bn:00030113n	انتخابات اِنْتِخابات‎ اِنْتِخاب‎
bn:00030114n	
bn:00030122n	
bn:00030125n	
bn:00030138n	
bn:00030162n	
bn:00030181n	برقی_توانائی برقي_توانائي
bn:00030192n	برق بجلی electric electrical electricity اليكٹرك اليكٹريسيٹي اليكٹريسٹي اليكٹريك اليكٹريكل الیکٹرک الیکٹریسٹی الیکٹریسیٹی الیکٹریک الیکٹریکل ايليكٹرك ايليكٹريسٹي ايليكٹريكل ایلیکٹرک ایلیکٹریسٹی ایلیکٹریکل بتي بتيؤں بتياں بتيوں بتيياں بتی بتیؤں بتیاں بتیوں بتیياں بجلي بجليؤں بجليئاں بجلياں بجليوں بجليياں بجلیؤں بجلیئاں بجلیاں بجلیوں بجلییاں برقي برقی
bn:00030227n	برحرکی_قوت برحركي_قوت
bn:00030231n	برقیہ اليكٹران اليكٹرون اليكڑان الیکٹران الیکٹرون الیکڑان بر_قيہ بر_قیہ برقات برقيہ برقيے برقیے
bn:00030242n	
bn:00030249n	
bn:00030251n	
bn:00030270n	برقیات الیکٹرانکس‎ بَرْقِیات‎ electronics اليكٹرانكس الیکٹرانکس برقيات برقياتي برقیاتی
bn:00030275n	
bn:00030293n	
bn:00030308n	ابتدائی_مدرسہ پرائمری_اسکول ابتدأي_مدرسہ ابتدأی_مدرسہ ابتدائي_مدرسہ
bn:00030333n	رافعہ لفٹ‎
bn:00030339n	ایسوسی_ایشن_فٹ_بال_ٹیم فٹ_بال_ٹیم
bn:00030375n	
bn:00030407n	
bn:00030416n	
bn:00030440n	
bn:00030464n	
bn:00030470n	
bn:00030492n	
bn:00030525n	
bn:00030538n	ریگ_مال ريگ_مال
bn:00030567n	اخراجی_طیف
bn:00030581n	جذبہ جذبات
bn:00030584n	
bn:00030585n	
bn:00030600n	نفخ emphysema امفیزیما امفیسیما ایمفیزیما امفيزيما امفيسيما ايمفيزيما
bn:00030601n	سلطنت
bn:00030605n	نیویارک نیو_یارک رياست_نيويارك ریاست_نیویارک نيو_يارك نيويارك
bn:00030607n	ریاست_جارجیا جارجیا georgia اسٹیٹ_جارجیا جارجيا رياست_جارجيا
bn:00030612n	
bn:00030615n	
bn:00030616n	نوکری‎ کام‎
bn:00030618n	
bn:00030624n	
bn:00030625n	
bn:00030626n	
bn:00030627n	
bn:00030640n	
bn:00030654n	
bn:00030686n	جادو‎ سحر‎ منتر‎ ٹونا‎ ٹوٹکا‎
bn:00030687n	
bn:00030702n	
bn:00030707n	
bn:00030709n	
bn:00030716n	
bn:00030718n	
bn:00030719n	
bn:00030720n	
bn:00030721n	مقصد‎ ہدف‎
bn:00030722n	
bn:00030724n	
bn:00030726n	
bn:00030747n	جوکھم
bn:00030751n	
bn:00030757n	
bn:00030765n	انگیزہ ہارمون hormone انگيزہ
bn:00030806n	
bn:00030811n	
bn:00030814n	
bn:00030815n	دشمن دشمنی عداوت مخاصمت
bn:00030817n	
bn:00030820n	توانائی توانائی‎ انرجي انرجی توانائ توانائي
bn:00030822n	
bn:00030823n	
bn:00030830n	
bn:00030844n	اشتراک‎
bn:00030858n	انجینئری ٹیکنالوجی طراز طرزیات ہندسیات الہندس انجينئرنگ انجينيئرنگ انجينيرنگ انجینئرنگ انجینیئرنگ انجینیرنگ طرزيات طرزياتي طرزیاتی مہندسي مہندسی ٹيكنالوجي ہندس ہندسيات ہندسياتي ہندسیاتی
bn:00030861n	انگلستان انگلینڈ‎ انگلينڈ انگلینڈ
bn:00030862n	انگریزی انگریزی_زبان آیزو_639:en آیزو_639:eng انگريزي انگريزي_زبان انگريزی انگلش
bn:00030863n	انگریز انگریزوں انگريز انگريز_لوگ انگريزوں انگريزي_لوگ انگریز_لوگ انگریزی_لوگ
bn:00030864n	
bn:00030876n	
bn:00030891n	انگریز‎
bn:00030917n	
bn:00030922n	
bn:00030929n	غیرکمشن_یافتہ_آفیسر غیرکمیشن_یافتہ_آفیسر غيركميشن_يافتهٔ_آفيسر غيركميشن_يافتهٔ_افيسر غيركميشن_يافتہ_آفيسر غيركميشن_يافتہ_افيسر غیرکمیشن_یافتهٔ_آفیسر غیرکمیشن_یافتهٔ_افیسر غیرکمیشن_یافتہ_افیسر
bn:00030933n	
bn:00030949n	
bn:00030951n	
bn:00030952n	
bn:00030988n	
bn:00030989n	
bn:00031008n	
bn:00031009n	
bn:00031011n	
bn:00031012n	
bn:00031017n	
bn:00031021n	
bn:00031025n	
bn:00031027n	کچھ وجود
bn:00031044n	
bn:00031048n	
bn:00031062n	
bn:00031067n	لفافہ لِفافَہ‎
bn:00031074n	
bn:00031085n	خامرہ خامرے
bn:00031134n	
bn:00031153n	وبا
bn:00031208n	
bn:00031224n	
bn:00031225n	
bn:00031256n	
bn:00031261n	دور عہد زمانہ
bn:00031268n	
bn:00031287n	وائیومنگ wyoming وائيومنگ وايومنگ وایومنگ
bn:00031294n	خط_استوا
bn:00031322n	آلہ
bn:00031332n	
bn:00031337n	
bn:00031339n	مترادف مترادف_الفاظ
bn:00031345n	گھوڑا equus_caballus
bn:00031480n	
bn:00031483n	
bn:00031485n	خطا غلط_فہمی غلطی نادرست
bn:00031487n	
bn:00031519n	سرخ_خونی_خلیہ erythrocyte erythrocytes rbc red_blood_cell آر_بی_سی ارتھروسائٹ حمریات حمریہ ریڈ_بلڈ_سیل سرخ_خلیات سرخ_خونی_خلیات آر_بي_سي ار_بي_سي ار_بی_سی حمريات حمريہ ريڈ_بلڈ_سيل سرخ_خليات سرخ_خوني_خليات سرخ_خوني_خليہ
bn:00031538n	
bn:00031545n	
bn:00031546n	
bn:00031550n	
bn:00031605n	سپین ہسپانیہ اسپین‎ سپین‎ ہَسْپانِیَہ‎ اسپین اسپين سپين مملكت_ہسپانيہ مملکت_ہسپانیہ ہسپانيا ہسپانيہ
bn:00031610n	
bn:00031622n	مضمون
bn:00031623n	
bn:00031631n	
bn:00031641n	ادارہ
bn:00031642n	
bn:00031653n	
bn:00031654n	احترام
bn:00031661n	
bn:00031685n	
bn:00031706n	
bn:00031709n	
bn:00031853n	
bn:00031896n	یورپ براعظم_يورپ براعظم_یورپ يورپ يورپي یورپی
bn:00031970n	
bn:00031973n	تعیین_قدر
bn:00031976n	انجیل انجیل‎ اناجيل اناجیل
bn:00031987n	عمل_تبخیر اناہ‎ بھاپ‎ تبخیروتکثیف عمل_تبخير
bn:00031995n	حوا eva حوّا
bn:00031998n	شام سندھیا رات‎ شام‎ وکال‎ evening
bn:00032021n	حادِثَہ‎ واقِعَہ‎ گَھٹْنا‎
bn:00032045n	ثبوت‎
bn:00032046n	
bn:00032053n	
bn:00032057n	
bn:00032067n	ابریق ابريق صراحي صراحی لوٹا چھاگل
bn:00032075n	آزمودہ_کار
bn:00032093n	
bn:00032099n	مثال‎ نَمُوْنَہ‎
bn:00032100n	
bn:00032102n	مشق‎
bn:00032111n	کان_کنی mining كان_كني
bn:00032118n	
bn:00032121n	
bn:00032125n	
bn:00032126n	
bn:00032127n	
